keyword,image_url,house_url,price,bedroom_s_,bathroom_s_,square_feet,status,address,listing_by
"Riverside, IL",https://photos.zillowstatic.com/fp/4e751df48013679a1bcd1a9f464af2e0-p_e.jpg,https://www.zillow.com/homedetails/30-Lawton-Rd-APT-1-Riverside-IL-60546/349461978_zpid/,"$2,495/mo",2,2,,Apartment for rent,"30 Lawton Rd APT 1, Riverside, IL 60546",
"Riverside, IL",https://photos.zillowstatic.com/fp/1fd745abf3aa89cdeba79c39222ad58d-p_e.jpg,https://www.zillow.com/b/downtown-riverside-courtyard-apts%21-riverside-il-9r2fng/,"$1,200+/mo",1,1,,Apartment for rent,"Downtown Riverside Courtyard Apts!, 100 Lincoln Ave APT 2W, Riverside, IL 60546",
"Riverside, IL",https://photos.zillowstatic.com/fp/8354a2ecbfb6cc20fb3f215780f9abdc-p_e.jpg,https://www.zillow.com/b/beautiful-riverside-apartments%21-riverside-il-C4pw53/,"$1,400+/mo",2,1,,Apartment for rent,"Beautiful Riverside Apartments!, 3150 S Harlem Ave APT 2I, Riverside, IL 60546",
"Riverside, IL",https://photos.zillowstatic.com/fp/55ad64355ce583a204afaa26a721f2e8-p_e.jpg,https://www.zillow.com/homedetails/1-Park-Pl-1-Riverside-IL-60546/2066431181_zpid/,"$1,275/mo",1,1,700,Apartment for rent,"1 Park Pl #1, Riverside, IL 60546",
"Riverside, IL",https://photos.zillowstatic.com/fp/01f188513c624867923dd896ea8fa09d-p_e.jpg,https://www.zillow.com/homedetails/3131-Harlem-Ave-3A-Berwyn-IL-60402/2056093839_zpid/,"$1,200/mo",1,1,600,Apartment for rent,"3131 Harlem Ave #3A, Berwyn, IL 60402",
"Riverside, IL",https://photos.zillowstatic.com/fp/c2dd1c52c4904f6ad086c1785089d35e-p_e.jpg,https://www.zillow.com/homedetails/3014-Harlem-Ave-APT-1-Riverside-IL-60546/2082300359_zpid/,"$1,975/mo",2,1,1296,Apartment for rent,"3014 Harlem Ave APT 1, Riverside, IL 60546",
