keyword,image_url,house_url,price,bedroom_s_,bathroom_s_,square_feet,status,address,listing_by
"Riverside, IL",https://photos.zillowstatic.com/fp/1835de4a9f6ac014a4f794bc132ed0c2-p_e.jpg,https://www.zillow.com/homedetails/317-Lionel-Rd-Riverside-IL-60546/101481319_zpid/,"$1,185,000",5,5,3893,New,"317 Lionel Rd, Riverside, IL 60546",@properties Christie's International Real Estate
"Riverside, IL",https://photos.zillowstatic.com/fp/95762f90582a66a0cb875a300244acaa-p_e.jpg,https://www.zillow.com/homedetails/142-Akenside-Rd-Riverside-IL-60546/3791410_zpid/,"$1,295,000",5,5,4500,New,"142 Akenside Rd, Riverside, IL 60546",Baird & Warner
"Riverside, IL",https://photos.zillowstatic.com/fp/6b2e3b3473a133a5652ae9eb69693f41-p_e.jpg,https://www.zillow.com/homedetails/128-Riverside-Rd-Riverside-IL-60546/3792368_zpid/,"$1,155,000",6,4,3900,New,"128 Riverside Rd, Riverside, IL 60546",RE/MAX Partners
"Riverside, IL",https://photos.zillowstatic.com/fp/e9a68993f89f30fffe0f4c8c52c553a6-p_e.jpg,https://www.zillow.com/homedetails/273-Maplewood-Rd-Riverside-IL-60546/3790470_zpid/,"$1,175,000",5,5,4214,Active,"273 Maplewood Rd, Riverside, IL 60546",@properties Christie's International Real Estate
"Riverside, IL",https://photos.zillowstatic.com/fp/91ad83c10e59899369ed17b96c3edaee-p_e.jpg,https://www.zillow.com/homedetails/166-Northgate-Rd-Riverside-IL-60546/3777517_zpid/,"$489,000",3,2,1337,Active,"166 Northgate Rd, Riverside, IL 60546",@properties Christie's International Real Estate
"Riverside, IL",https://photos.zillowstatic.com/fp/0c0a7ca158b7890170e4beaa07764939-p_e.jpg,https://www.zillow.com/homedetails/52-Forest-Ave-APT-2S-Riverside-IL-60546/87720460_zpid/,"$145,000",1,1,750,Active,"52 Forest Ave APT 2S, Riverside, IL 60546",RE/MAX Partners
"Riverside, IL",https://photos.zillowstatic.com/fp/a9fd278e81d252b98b8c75484f3c1a7d-p_e.jpg,https://www.zillow.com/homedetails/352-Addison-Rd-Riverside-IL-60546/3791674_zpid/,"$1,299,000",6,5,5552,Active,"352 Addison Rd, Riverside, IL 60546",@properties Christie's International Real Estate
